OS;Local;Descricao;Data Abertura;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Prioridade;Oficina;Tipo;MP;Status
OS89779;REM01-1000-1100-E000004;Corretiva banco;03/06/2021;;;1,6;10/06/2021;10/06/2021;1,6;A;Elétrica;Corretiva;;FECH
OS89780;REM01-2000-2200-X000001;Corretiva banco;11/01/2021;;;1,75;23/01/2021;23/01/2021;1,52;A;Mecânica;Corretiva;;FECH
OS89781;REM01-3000-3100-C000002;Corretiva banco;22/08/2021;;;1,7;29/08/2021;29/08/2021;1,7;A;Mecânica;Corretiva;;FECH
OS89782;REM01-1000-1200-F000002;Corretiva banco;05/01/2021;;;1,93;25/01/2021;26/01/2021;2,43;A;Mecânica;Corretiva;;FECH
OS89783;REM01-1000-1100-E000001;Corretiva banco;20/02/2021;;;0,98;30/03/2021;30/03/2021;1,47;A;Elétrica;Corretiva;;FECH
OS89784;REM01-1000-1200-E000003;Corretiva banco;23/02/2021;;;3,23;17/03/2021;17/03/2021;3,23;A;Mecânica;Corretiva;;FECH
OS89785;REM01-1000-1200-E000004;Corretiva banco;17/07/2021;;;3,42;27/07/2021;27/07/2021;3,92;A;Mecânica;Corretiva;;FECH
OS89786;REM01-2000-2200-X000006;Corretiva banco;13/01/2021;;;2,22;03/02/2021;03/02/2021;2,23;A;Elétrica;Corretiva;;FECH
OS89787;REM01-2000-2200-X000004;Corretiva banco;24/01/2021;;;2,52;11/02/2021;11/02/2021;2,77;A;Automação;Corretiva;;FECH
OS89788;REM01-2000-2100-X000001;Corretiva banco;29/08/2021;;;3,17;26/09/2021;27/09/2021;3,9;A;Automação;Corretiva;;FECH
OS89789;REM01-1000-1200-E000001;Corretiva banco;10/09/2021;;;4,22;17/09/2021;17/09/2021;4,22;A;Elétrica;Corretiva;;FECH
OS89790;REM01-2000-2100-X000002;Corretiva banco;03/01/2021;;;3,72;23/01/2021;23/01/2021;3,73;A;Mecânica;Corretiva;;FECH
OS89791;REM01-1000-1200-E000001;Corretiva banco;08/05/2021;;;4,97;15/05/2021;16/05/2021;4,98;A;Elétrica;Corretiva;;FECH
OS89792;REM01-2000-2200-X000002;Corretiva banco;08/05/2021;;;4,33;17/05/2021;18/05/2021;4,35;A;Elétrica;Corretiva;;FECH
OS89793;REM01-1000-1100-E000003;Corretiva banco;08/05/2021;;;4,05;21/05/2021;21/05/2021;4,05;A;Elétrica;Corretiva;;FECH
OS89794;REM01-1000-1100-E000001;Corretiva banco;06/01/2021;;;2,37;23/01/2021;23/01/2021;3,1;A;Automação;Corretiva;;FECH
OS89795;REM01-2000-2200-X000006;Corretiva banco;23/12/2021;;;5;;;0;A;Elétrica;Corretiva;;PEND
OS89796;REM01-1000-1100-E000004;Corretiva banco;14/10/2021;;;1,62;23/10/2021;24/10/2021;1,88;A;Elétrica;Corretiva;;FECH
OS89797;REM01-3000-3100-C000001;Corretiva banco;12/09/2021;;;1,82;19/09/2021;19/09/2021;1,82;A;Mecânica;Corretiva;;FECH
OS89798;REM01-3000-3200-T000002;Corretiva banco;06/10/2021;;;1,77;24/10/2021;24/10/2021;1,78;A;Mecânica;Corretiva;;FECH
OS89799;REM01-2000-2200-X000005;Corretiva banco;29/09/2021;;;4,4;06/10/2021;06/10/2021;4,4;A;Mecânica;Corretiva;;FECH
OS89800;REM01-3000-3200-T000002;Corretiva banco;01/10/2021;;;2,47;31/10/2021;01/11/2021;2,23;A;Mecânica;Corretiva;;FECH
OS89801;REM01-2000-2100-X000001;Corretiva banco;04/11/2021;;;1,82;11/11/2021;11/11/2021;1,82;A;Mecânica;Corretiva;;FECH
OS89802;REM01-2000-2200-X000002;Corretiva banco;31/12/2020;;;2,37;20/01/2021;20/01/2021;1,9;A;Mecânica;Corretiva;;FECH
OS89803;REM01-2000-2200-X000003;Corretiva banco;22/11/2021;;;4,07;29/11/2021;30/11/2021;4,07;A;Elétrica;Corretiva;;FECH
OS89804;REM01-2000-2200-X000002;Corretiva banco;13/04/2021;;;1,77;20/04/2021;20/04/2021;1,77;A;Mecânica;Corretiva;;FECH
